Railroad,Code,Station Name,Branch,Latitude,Longitude,Outbound Title,Inbound Title,Zone,Station URL,Parking Map URL,Accessibility,Georeference
LIRR,WBY,Westbury,Port Jefferson,40.75353783,-73.58555905,To Points East,To Jamaica & New York,7,https://new.mta.info/stations/westbury,https://new.mta.info/document/116106,FULL,POINT (-73.58555905 40.75353783)
LIRR,RON,Ronkonkoma,Ronkonkoma,40.80812119,-73.10594563,To Greenport,To Jamaica & New York,10,https://new.mta.info/stations/ronkonkoma,https://new.mta.info/document/117436,FULL,POINT (-73.10594563 40.80812119)
LIRR,YPK,Yaphank,Greenport,40.82561542,-72.91585513,To Greenport,To Jamaica & New York,12,https://new.mta.info/stations/yaphank,https://new.mta.info/document/116136,FULL,POINT (-72.91585513 40.82561542)
LIRR,MHL,Murray Hill,Port Washington,40.76274158,-73.81450578,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/murray-hill,https://new.mta.info/document/116016,FULL,POINT (-73.81450578 40.76274158)
LIRR,LVL,Locust Valley,Oyster Bay,40.87448921,-73.59828592,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/locust-valley,https://new.mta.info/document/114206,FULL,POINT (-73.59828592 40.87448921)
LIRR,BK,Stony Brook,Port Jefferson,40.92051484,-73.12838183,To Port Jefferson,To Jamaica & New York,10,https://new.mta.info/stations/stony-brook,https://new.mta.info/document/116081,FULL,POINT (-73.12838183 40.92051484)
LIRR,FLS,Flushing Main Street,Port Washington,40.75802098,-73.83107007,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/flushing-main-street,https://new.mta.info/document/113756,FULL,POINT (-73.83107007 40.75802098)
LIRR,IWD,Inwood,Far Rockaway,40.61229499,-73.74414216,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/inwood,https://new.mta.info/document/115936,FULL,POINT (-73.74414216 40.61229499)
LIRR,EHN,East Hampton,Montauk,40.96513767,-72.19289967,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/east-hampton,https://new.mta.info/document/113716,FULL,POINT (-72.19289967 40.96513767)
LIRR,JAM,Jamaica,City Terminal Zone,40.69961991,-73.80843137,To Long Island,To Points West,3,https://new.mta.info/stations/jamaica,,FULL,POINT (-73.80843137 40.69961991)
